value,Warcry,Tauforged Blue Armor,Tauforged Red Strength,Stand United,Blind Rage,Umbral Intensify,Umbral Vitality,Umbral Fiber,
1624.5,false,4,0,false,true,true,false,true,
1624.5,false,4,1,false,false,false,true,true,
1624.5,false,4,0,false,false,false,true,true,
1624.5,false,4,1,false,true,false,true,true,
1624.5,false,4,0,false,true,false,true,true,
1630.8,true,4,1,true,true,false,false,false,
1630.8,true,4,1,true,true,false,true,false,
1634.4,true,2,1,false,false,true,true,true,
1635.75,true,3,0,true,false,false,true,true,
1635.75,false,3,2,true,false,true,true,true,
1635.75,false,3,1,true,false,true,true,true,
1635.75,false,3,0,true,false,true,true,true,
1635.75,false,3,2,true,true,true,true,true,
1635.75,false,3,1,true,true,true,true,true,
1635.75,false,3,0,true,true,true,true,true,
1636.2,true,1,4,false,true,true,true,true,
1637.55,true,2,3,true,true,false,true,true,
1638.675,true,4,1,false,true,true,true,false,
1642.05,true,3,1,false,true,false,false,true,
1643.625,true,3,0,false,false,true,false,true,
1644.075,true,1,1,true,true,true,true,true,
1645.425,true,2,3,false,true,true,false,true,
1653.3,true,2,0,true,true,true,false,true,
1658.025,true,2,2,false,false,true,true,true,
1659.375,true,3,1,true,false,false,true,true,
1665.675,true,3,2,false,true,false,false,true,
1666.8,true,5,0,false,false,true,false,false,
1667.25,true,3,1,false,false,true,false,true,
1667.7,true,1,2,true,true,true,true,true,
1676.25,true,5,0,true,false,false,false,false,
1676.25,true,5,0,true,false,false,true,false,
1676.475,true,4,0,true,true,true,false,false,
1676.925,true,2,1,true,true,true,false,true,
1681.65,true,2,3,false,false,true,true,true,
1683,true,3,2,true,false,false,true,true,
1684.125,true,5,0,false,false,true,true,false,
1687.5,true,4,0,false,false,false,false,true,
1689.525,true,2,0,true,false,true,true,true,
1690.875,true,3,2,false,false,true,false,true,
1691.325,true,1,3,true,true,true,true,true,
1693.8,true,4,0,true,true,true,true,false,
1697.175,true,3,0,true,true,false,false,true,
1700.1,true,4,1,true,true,true,false,false,
1700.55,true,2,2,true,true,true,false,true,
1703.25,false,4,1,true,false,true,false,true,
1703.25,false,4,0,true,false,true,false,true,
1703.25,false,4,1,true,true,true,false,true,
1703.25,false,4,0,true,true,true,false,true,
1703.25,false,4,1,true,false,false,true,true,
1703.25,false,4,0,true,false,false,true,true,
1703.25,false,4,1,true,true,false,true,true,
1703.25,false,4,0,true,true,false,true,true,
1711.125,true,4,1,false,false,false,false,true,
1712.925,true,3,0,false,true,false,true,true,
1713.15,true,2,1,true,false,true,true,true,
1714.95,true,1,4,true,true,true,true,true,
1717.425,true,4,1,true,true,true,true,false,
1720.8,true,3,1,true,true,false,false,true,
1722.375,true,3,0,true,false,true,false,true,
1724.175,true,2,3,true,true,true,false,true,
1736.55,true,3,1,false,true,false,true,true,
1736.775,true,2,2,true,false,true,true,true,
1744.425,true,3,2,true,true,false,false,true,
1745.55,true,5,0,true,false,true,false,false,
1746,true,3,1,true,false,true,false,true,
1753.425,true,5,0,false,true,false,false,false,
1753.425,true,5,0,false,true,false,true,false,
1755,false,5,0,false,false,false,false,true,
1755,false,5,0,false,true,false,false,true,
1760.175,true,3,2,false,true,false,true,true,
1760.4,true,2,3,true,false,true,true,true,
1762.875,true,5,0,true,false,true,true,false,
1766.25,true,4,0,true,false,false,false,true,
1766.7,true,2,0,false,true,true,true,true,
1769.625,true,3,2,true,false,true,false,true,
1782,true,4,0,false,false,false,true,true,
1782,false,4,1,false,false,true,true,true,
1782,false,4,0,false,false,true,true,true,
1782,false,4,1,false,true,true,true,true,
1782,false,4,0,false,true,true,true,true,
1789.875,true,4,1,true,false,false,false,true,
1790.325,true,2,1,false,true,true,true,true,
1791.675,true,3,0,true,true,false,true,true,
1799.55,true,3,0,false,true,true,false,true,
1805.625,true,4,1,false,false,false,true,true,
1813.95,true,2,2,false,true,true,true,true,
1815.3,true,3,1,true,true,false,true,true,
1822.725,true,5,0,false,true,true,false,false,
1823.175,true,3,1,false,true,true,false,true,
1832.175,true,5,0,true,true,false,false,false,
1832.175,true,5,0,true,true,false,true,false,
1833.75,false,5,0,true,false,false,false,true,
1833.75,false,5,0,true,true,false,false,true,
1835.775,true,3,0,false,false,true,true,true,
1837.575,true,2,3,false,true,true,true,true,
1838.925,true,3,2,true,true,false,true,true,
1840.05,true,5,0,false,true,true,true,false,
1843.425,true,4,0,false,true,false,false,true,
1845.45,true,2,0,true,true,true,true,true,
1846.8,true,3,2,false,true,true,false,true,
1849.5,false,5,0,false,false,true,false,true,
1849.5,false,5,0,false,true,true,false,true,
1849.5,false,5,0,false,false,false,true,true,
1849.5,false,5,0,false,true,false,true,true,
1859.4,true,3,1,false,false,true,true,true,
1860.75,true,4,0,true,false,false,true,true,
1860.75,false,4,1,true,false,true,true,true,
1860.75,false,4,0,true,false,true,true,true,
1860.75,false,4,1,true,true,true,true,true,
1860.75,false,4,0,true,true,true,true,true,
1867.05,true,4,1,false,true,false,false,true,
1868.625,true,4,0,false,false,true,false,true,
1869.075,true,2,1,true,true,true,true,true,
1878.3,true,3,0,true,true,true,false,true,
1883.025,true,3,2,false,false,true,true,true,
1884.375,true,4,1,true,false,false,true,true,
1892.25,true,4,1,false,false,true,false,true,
1892.7,true,2,2,true,true,true,true,true,
1901.475,true,5,0,true,true,true,false,false,
1901.925,true,3,1,true,true,true,false,true,
1912.5,true,5,0,false,false,false,false,true,
1914.525,true,3,0,true,false,true,true,true,
1916.325,true,2,3,true,true,true,true,true,
1918.8,true,5,0,true,true,true,true,false,
1922.175,true,4,0,true,true,false,false,true,
1925.55,true,3,2,true,true,true,false,true,
1928.25,false,5,0,true,false,true,false,true,
1928.25,false,5,0,true,true,true,false,true,
1928.25,false,5,0,true,false,false,true,true,
1928.25,false,5,0,true,true,false,true,true,
1937.925,true,4,0,false,true,false,true,true,
1938.15,true,3,1,true,false,true,true,true,
1945.8,true,4,1,true,true,false,false,true,
1947.375,true,4,0,true,false,true,false,true,
1961.55,true,4,1,false,true,false,true,true,
1961.775,true,3,2,true,false,true,true,true,
1971,true,4,1,true,false,true,false,true,
1991.25,true,5,0,true,false,false,false,true,
1991.7,true,3,0,false,true,true,true,true,
2007,true,5,0,false,false,false,true,true,
2007,false,5,0,false,false,true,true,true,
2007,false,5,0,false,true,true,true,true,
2015.325,true,3,1,false,true,true,true,true,
2016.675,true,4,0,true,true,false,true,true,
2024.55,true,4,0,false,true,true,false,true,
2038.95,true,3,2,false,true,true,true,true,
2040.3,true,4,1,true,true,false,true,true,
2048.175,true,4,1,false,true,true,false,true,
2060.775,true,4,0,false,false,true,true,true,
2068.425,true,5,0,false,true,false,false,true,
2070.45,true,3,0,true,true,true,true,true,
2084.4,true,4,1,false,false,true,true,true,
2085.75,true,5,0,true,false,false,true,true,
2085.75,false,5,0,true,false,true,true,true,
2085.75,false,5,0,true,true,true,true,true,
2093.625,true,5,0,false,false,true,false,true,
2094.075,true,3,1,true,true,true,true,true,
2103.3,true,4,0,true,true,true,false,true,
2117.7,true,3,2,true,true,true,true,true,
2126.925,true,4,1,true,true,true,false,true,
2139.525,true,4,0,true,false,true,true,true,
2147.175,true,5,0,true,true,false,false,true,
2162.925,true,5,0,false,true,false,true,true,
2163.15,true,4,1,true,false,true,true,true,
2172.375,true,5,0,true,false,true,false,true,
2216.7,true,4,0,false,true,true,true,true,
2240.325,true,4,1,false,true,true,true,true,
2241.675,true,5,0,true,true,false,true,true,
2249.55,true,5,0,false,true,true,false,true,
2285.775,true,5,0,false,false,true,true,true,
2295.45,true,4,0,true,true,true,true,true,
2319.075,true,4,1,true,true,true,true,true,
2328.3,true,5,0,true,true,true,false,true,
2364.525,true,5,0,true,false,true,true,true,
2441.7,true,5,0,false,true,true,true,true,
2520.45,true,5,0,true,true,true,true,true,
